id,power_class_kw,tier,year_start,nox_gkwh,hc_gkwh,nox_hc_gkwh,pm_gkwh,co_gkwh,aftertreatment_required,aftertreatment_types,equipment_examples,source
T1-560+,>560,Tier 1,2000,9.2,1.3,,0.54,11.4,FALSE,,haul truck besar | dragline | excavator ultra-large,US EPA 40 CFR Part 1039 - https://www.law.cornell.edu/cfr/text/40/appendix-I_to_part_1039
T2-560+,>560,Tier 2,2006,,,6.4,0.20,3.5,FALSE,,haul truck besar | dragline,US EPA 40 CFR Part 1039
T4-560+,>560,Tier 4 Final,2015,3.5,0.19,,0.10,3.5,TRUE,SCR | DEF | DPF-optional,Cat 797F | Komatsu 960E | dragline,US EPA 40 CFR Part 1039
T1-130-560,130-560,Tier 1,1996,9.2,1.3,,0.54,11.4,FALSE,,wheel loader | grader | excavator sedang | bulldozer besar,US EPA 40 CFR Part 1039
T2-130-560,130-560,Tier 2,2003,,,6.4,0.20,3.5,FALSE,,wheel loader | grader | excavator sedang,US EPA 40 CFR Part 1039
T3-130-560,130-560,Tier 3,2006,,,4.0,0.20,3.5,FALSE,,wheel loader | grader | excavator sedang,US EPA 40 CFR Part 1039
T4-130-560,130-560,Tier 4 Final,2014,,,2.0,0.02,3.5,TRUE,SCR | DPF | DOC,Cat 994K | Cat D11T | Komatsu WA900,US EPA 40 CFR Part 1039
T1-75-130,75-130,Tier 1,1997,9.2,,,,,FALSE,,bulldozer kecil | backhoe loader,US EPA 40 CFR Part 1039
T2-75-130,75-130,Tier 2,2003,,,6.6,0.30,5.0,FALSE,,bulldozer kecil | backhoe loader,US EPA 40 CFR Part 1039
T3-75-130,75-130,Tier 3,2007,,,4.0,0.20,5.0,FALSE,,bulldozer kecil | backhoe loader,US EPA 40 CFR Part 1039
T4-75-130,75-130,Tier 4 Final,2013,,,3.4,0.02,5.0,TRUE,SCR | DPF | DOC,backhoe loader kecil | drill rig,US EPA 40 CFR Part 1039
T1-37-75,37-75,Tier 1,1998,9.2,,,,,FALSE,,skid steer | compactor kecil | forklift tambang,US EPA 40 CFR Part 1039
T2-37-75,37-75,Tier 2,2004,,,7.5,0.40,5.0,FALSE,,skid steer | compactor kecil,US EPA 40 CFR Part 1039
T3-37-75,37-75,Tier 3,2008,,,4.7,0.30,5.0,FALSE,,skid steer | compactor,US EPA 40 CFR Part 1039
T4-37-75,37-75,Tier 4 Final,2015,,,4.7,0.03,5.0,TRUE,SCR | DOC,skid steer | compactor | service vehicle tambang,US EPA 40 CFR Part 1039
