# DATASET TARIF LISTRIK PLN - GOLONGAN INDUSTRI SKALA BESAR (KONVERSI kVA ke kWh)
# Sumber Utama   : PT PLN (Persero) - web.pln.co.id/pelanggan/tarif-tenaga-listrik
# Dasar Hukum    : Peraturan Menteri ESDM No. 7 Tahun 2024 jo. Permen ESDM No. 7 Tahun 2025
# Referensi Tarif: CNBC Indonesia (30 Maret 2025), Tempo.co (Juli 2025)
# -----------------------------------------------------------------------
# ASUMSI KONVERSI kVA ke kWh:
#   Power Factor (PF) = 0.85 (standar minimum PLN untuk industri; jika PF < 0.85 dikenakan biaya kVArh)
#   Jam Operasi       = 200 jam/bulan (asumsi 8 jam/hari x 25 hari kerja/bulan)
#   Rumus             : kWh/bulan = Daya_kVA x PF x Jam_Operasi
#   Rumus Biaya       : Biaya_kWh = kWh/bulan x Tarif_per_kWh
# -----------------------------------------------------------------------
# Fokus dataset    : Golongan I-3/TM dan I-4/TT (industri skala besar, NON-SUBSIDI)
# Tanggal Dibuat   : 17 Mei 2026
# ===================================================================

Golongan_Tarif,Jenis_Tegangan,Daya_Terpasang_kVA,Power_Factor,Jam_Operasi_per_Bulan,Konsumsi_kWh_per_Bulan,Tarif_per_kWh_IDR,Biaya_Energi_per_Bulan_IDR,Keterangan_Skala_Industri,Contoh_Sektor,Periode_Tarif,Dasar_Hukum
I-3/TM,Tegangan Menengah,250,0.85,200,42500,1114.74,47376450,Industri menengah bawah (batas minimum I-3),"Tekstil kecil, cold storage, bengkel manufaktur",Triwulan I 2025 s.d. sekarang (tarif tetap),Permen ESDM No. 7 Tahun 2024 jo. No. 7 Tahun 2025
I-3/TM,Tegangan Menengah,500,0.85,200,85000,1114.74,94752900,Industri menengah,"Pabrik makanan & minuman, industri plastik, percetakan besar",Triwulan I 2025 s.d. sekarang (tarif tetap),Permen ESDM No. 7 Tahun 2024 jo. No. 7 Tahun 2025
I-3/TM,Tegangan Menengah,1000,0.85,200,170000,1114.74,189505800,Industri menengah atas,"Pabrik kertas, industri kimia menengah, cold storage besar",Triwulan I 2025 s.d. sekarang (tarif tetap),Permen ESDM No. 7 Tahun 2024 jo. No. 7 Tahun 2025
I-3/TM,Tegangan Menengah,2000,0.85,200,340000,1114.74,379011600,Industri menengah besar,"Pabrik otomotif komponen, industri logam, pabrik pupuk skala menengah",Triwulan I 2025 s.d. sekarang (tarif tetap),Permen ESDM No. 7 Tahun 2024 jo. No. 7 Tahun 2025
I-3/TM,Tegangan Menengah,5000,0.85,200,850000,1114.74,947529000,Industri besar bawah (mendekati batas I-4),"Pabrik tekstil besar, industri pengolahan mineral",Triwulan I 2025 s.d. sekarang (tarif tetap),Permen ESDM No. 7 Tahun 2024 jo. No. 7 Tahun 2025
I-3/TM,Tegangan Menengah,10000,0.85,200,1700000,1114.74,1895058000,Industri besar (masih I-3 jika < 30.000 kVA),"Pabrik semen skala menengah, industri baja ringan",Triwulan I 2025 s.d. sekarang (tarif tetap),Permen ESDM No. 7 Tahun 2024 jo. No. 7 Tahun 2025
I-4/TT,Tegangan Tinggi,30000,0.85,200,5100000,996.74,5083374000,Industri besar (batas minimum I-4),"Pabrik semen, pabrik baja, industri petrokimia",Triwulan I 2025 s.d. sekarang (tarif tetap),Permen ESDM No. 7 Tahun 2024 jo. No. 7 Tahun 2025
I-4/TT,Tegangan Tinggi,50000,0.85,200,8500000,996.74,8472290000,Industri berat besar,"Pabrik aluminium, industri kimia dasar, PLTU swasta",Triwulan I 2025 s.d. sekarang (tarif tetap),Permen ESDM No. 7 Tahun 2024 jo. No. 7 Tahun 2025
I-4/TT,Tegangan Tinggi,100000,0.85,200,17000000,996.74,16944580000,Industri sangat besar,"Pabrik baja terpadu, industri petrokimia besar, kawasan industri",Triwulan I 2025 s.d. sekarang (tarif tetap),Permen ESDM No. 7 Tahun 2024 jo. No. 7 Tahun 2025
I-4/TT,Tegangan Tinggi,200000,0.85,200,34000000,996.74,33889160000,Industri ultra besar / kawasan industri terpadu,"Kawasan industri besar, smelter nikel/aluminium, industri baja nasional",Triwulan I 2025 s.d. sekarang (tarif tetap),Permen ESDM No. 7 Tahun 2024 jo. No. 7 Tahun 2025
